Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 1.25
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
ator    	actor   	 0.25	 0.50	 1.00	 0.75	 1.00	 0.83	 0.82	 0.75	
movimentos	movimientos	 0.50	 0.80	 0.80	 0.80	 1.00	 0.92	 0.98	 0.97	
metabolismo	metabolismo	 1.00	 1.00	 1.00	 0.82	 1.00	 1.00	 1.00	 1.01	
equipamento	equipo  	 0.45	 0.45	 0.27	 0.36	 0.61	 0.33	 0.38	 0.47	
departamento	departamento	 1.00	 0.92	 0.92	 0.75	 1.00	 1.00	 0.98	 1.01	
crocodilo	cocodrilo	 0.44	 0.78	 0.56	 0.44	 1.00	 0.78	 0.61	 0.86	
calendario	calendario	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 1.00	 1.00	
auditorio	auditorio	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
atividades	actvidades	 0.80	 0.20	 0.20	 0.70	 0.92	 0.85	 0.74	 0.83	
acesso  	acceso  	 0.67	 0.83	 0.83	 0.67	 0.87	 0.78	 0.79	 0.93	
academico	academico	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.92	 1.00	
linguagem	lenguaje	 0.67	 0.67	 0.56	 0.33	 0.64	 0.48	 0.41	 0.47	
eletricidade	electricidad	 0.25	 0.42	 0.42	 0.25	 0.86	 0.84	 0.66	 0.94	
efeito  	efecto  	 0.83	 0.50	 0.50	 0.83	 0.88	 0.64	 0.45	 0.83	
dissertacao	disertacion	 0.27	 0.55	 0.55	 0.27	 0.77	 0.86	 0.70	 0.91	
dicionario	diccionario	 0.30	 0.80	 1.00	 0.70	 1.00	 1.00	 0.90	 0.96	
competicao	competicion	 0.90	 0.90	 0.90	 0.40	 0.83	 0.83	 0.82	 0.88	
musica  	musica  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
memoria 	memoria 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
