Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
direcao 	direction	 0.71	 0.86	 0.71	 0.57	 0.75	 0.67	 0.66	 0.77	
diretor 	director	 0.57	 0.71	 1.00	 1.00	 0.91	 0.80	 0.88	 0.97	
desastre	disaster	 0.62	 0.88	 0.88	 0.62	 0.75	 0.69	 0.53	 0.75	
disco   	disco   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
distancia	distance	 0.78	 0.78	 0.78	 0.44	 0.73	 0.75	 0.76	 0.84	
divisao 	division	 0.86	 0.86	 0.57	 0.57	 0.78	 0.69	 0.62	 0.82	
doutor  	doctor  	 0.83	 0.50	 0.83	 0.83	 0.88	 0.58	 0.54	 0.75	
dragao  	dragon  	 0.67	 0.67	 0.50	 0.67	 0.72	 0.80	 0.66	 0.86	
drama   	drama   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
editorial	editorial	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
elefante	elephant	 0.38	 0.50	 0.50	 0.38	 0.62	 0.41	 0.43	 0.78	
enigma  	enigma  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
excursao	excursion	 0.88	 0.88	 0.88	 0.50	 0.80	 0.78	 0.75	 0.85	
explosao	explosion	 0.88	 0.88	 0.88	 0.50	 0.80	 0.78	 0.75	 0.83	
expulsao	expulsion	 0.88	 0.88	 0.88	 0.50	 0.80	 0.78	 0.75	 0.85	
extensao	extension	 0.88	 0.88	 0.88	 0.50	 0.80	 0.78	 0.71	 0.85	
exterior	exterior	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
fator   	factor  	 0.40	 0.60	 1.00	 0.80	 0.92	 0.78	 0.81	 0.93	
familia 	family  	 0.71	 0.71	 0.71	 0.43	 0.67	 0.69	 0.53	 0.85	
festival	festival	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
final   	final   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
formula 	formula 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
funeral 	funeral 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
galaxia 	galaxy  	 0.71	 0.71	 0.71	 0.43	 0.67	 0.58	 0.55	 0.75	
general 	general 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
genese  	genesis 	 0.83	 0.83	 0.67	 0.50	 0.75	 0.88	 0.58	 0.95	
multiplo	multiple	 0.88	 0.88	 0.88	 0.88	 0.80	 0.83	 0.85	 0.76	
musica  	music   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.79	 0.71	
musical 	musical 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
nostalgia	nostalgia	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
objeto  	object  	 0.67	 0.67	 0.50	 0.67	 0.72	 0.67	 0.68	 0.75	
observatorio	observatory	 0.83	 0.75	 0.75	 0.33	 0.79	 0.80	 0.82	 0.85	
ocasiao 	occasion	 0.43	 0.57	 0.43	 0.43	 0.69	 0.73	 0.68	 0.91	
oceano  	ocean   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.79	 0.71	
opera   	opera   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
oportunidade	opportunity	 0.17	 0.33	 0.33	 0.17	 0.62	 0.63	 0.55	 0.60	
original	original	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
palacio 	palace  	 0.71	 0.71	 0.71	 0.43	 0.67	 0.54	 0.54	 0.57	
panico  	panic   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.79	 0.71	
panorama	panorama	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
paraiso 	paradise	 0.57	 0.71	 0.71	 0.86	 0.72	 0.69	 0.59	 0.77	
parque  	park    	 0.50	 0.50	 0.50	 0.33	 0.50	 0.25	 0.36	 0.41	
parte   	part    	 0.80	 0.80	 0.80	 0.40	 0.71	 0.67	 0.73	 0.66	
pastor  	pastor  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
paciencia	patience	 0.67	 0.67	 0.67	 0.33	 0.55	 0.55	 0.58	 0.81	
patio   	patio   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
perfume 	perfume 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
foto    	photo   	 0.00	 0.75	 0.75	 0.50	 0.67	 0.60	 0.40	 0.21	
planeta 	planet  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.80	 0.83	 0.87	
plano   	plan    	 0.80	 0.80	 0.80	 0.40	 0.71	 0.67	 0.73	 0.66	
planta  	plant   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.76	 0.86	
praca   	plaza   	 0.60	 0.60	 0.60	 0.60	 0.71	 0.25	 0.14	 0.31	
pretensao	pretension	 0.89	 0.89	 0.56	 0.44	 0.82	 0.79	 0.70	 0.85	
propaganda	propaganda	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.88	 1.00	
protetor	protector	 0.62	 0.75	 0.88	 0.88	 0.92	 0.94	 0.62	 1.04	
radical 	radical 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
radio   	radio   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
rancho  	ranch   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.79	 0.71	
realidade	reality 	 0.56	 0.56	 0.44	 0.44	 0.55	 0.50	 0.49	 0.67	
regiao  	region  	 0.67	 0.67	 0.50	 0.67	 0.72	 0.67	 0.68	 0.75	
religiao	religion	 0.75	 0.75	 0.50	 0.75	 0.77	 0.81	 0.69	 0.79	
reuniao 	reunion 	 0.71	 0.71	 0.71	 0.71	 0.75	 0.73	 0.75	 0.82	
revisao 	revision	 0.86	 0.86	 0.57	 0.57	 0.78	 0.73	 0.73	 0.84	
ritual  	ritual  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
sabor   	savor   	 0.80	 0.80	 0.80	 0.80	 0.86	 0.56	 0.47	 0.75	
salario 	salary  	 0.71	 0.71	 0.71	 0.43	 0.67	 0.54	 0.54	 0.57	
serie   	series  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 0.97	 1.00	
sofa    	sofa    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
subversao	subversion	 0.89	 0.89	 0.89	 0.44	 0.82	 0.81	 0.78	 0.88	
taxi    	taxi    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
televisao	television	 0.89	 0.89	 0.56	 0.44	 0.82	 0.79	 0.72	 0.86	
terror  	terror  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.72	 1.00	
total   	total   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
transito	transit 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.85	 0.80	
uniforme	uniform 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.85	 0.78	
uniao   	union   	 0.60	 0.60	 0.60	 0.60	 0.68	 0.56	 0.61	 0.70	
universo	universe	 0.88	 0.88	 0.88	 0.88	 0.80	 0.83	 0.86	 0.81	
universidade	university	 0.67	 0.58	 0.58	 0.25	 0.64	 0.64	 0.63	 0.68	
vegetal 	vegetable	 0.86	 0.86	 0.71	 0.57	 0.86	 0.92	 0.81	 0.92	
velocidade	velocity	 0.60	 0.60	 0.40	 0.40	 0.58	 0.55	 0.55	 0.63	
versao  	version 	 0.83	 0.83	 0.67	 0.50	 0.75	 0.67	 0.64	 0.81	
violino 	violin  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.86	 0.83	 0.87	
advertencia	advertising	 0.55	 0.55	 0.55	 0.45	 0.62	 0.48	 0.48	 0.67	
jugo    	jug     	 0.75	 0.75	 0.75	 0.50	 0.67	 0.50	 0.63	 0.59	
jarra   	jar     	 0.60	 0.60	 0.60	 0.40	 0.57	 0.50	 0.38	 0.82	
sob     	sob     	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
leopardo	leopard 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.85	 0.89	
hipopotamo	hippopotamus	 0.30	 0.60	 0.60	 0.40	 0.79	 0.80	 0.73	 0.95	
grupo   	group   	 0.40	 0.60	 0.60	 0.40	 0.68	 0.67	 0.60	 0.90	
problema	problem 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.85	 0.78	
humano  	human   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.79	 0.71	
informacao	information	 0.80	 0.70	 0.70	 0.40	 0.75	 0.73	 0.68	 0.83	
momento 	moment  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.79	 0.72	 0.91	
lista   	list    	 0.80	 0.80	 0.80	 0.40	 0.71	 0.67	 0.73	 0.66	
mortal  	mortal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
exame   	exam    	 0.80	 0.80	 0.80	 0.40	 0.71	 0.67	 0.74	 0.66	
computador	computer	 0.60	 0.60	 0.60	 0.50	 0.69	 0.50	 0.54	 0.66	
apartamento	apartment	 0.45	 0.64	 0.64	 0.36	 0.68	 0.72	 0.65	 0.79	
animal  	animal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
movimento	movement	 0.78	 0.78	 0.78	 0.33	 0.66	 0.57	 0.63	 0.76	
metabolismo	metabolism	 0.91	 0.91	 0.91	 0.36	 0.85	 0.89	 0.90	 0.95	
equipamento	equipment	 0.45	 0.73	 0.73	 0.36	 0.68	 0.67	 0.72	 0.72	
departamento	department	 0.50	 0.67	 0.67	 0.33	 0.71	 0.73	 0.74	 0.80	
crocodilo	crocodile	 0.89	 0.89	 0.89	 0.89	 0.82	 0.83	 0.76	 0.90	
calendario	calendar	 0.80	 0.80	 0.80	 0.40	 0.75	 0.75	 0.77	 0.70	
auditorio	auditorium	 0.89	 0.89	 0.56	 0.44	 0.82	 0.90	 0.91	 0.92	
atividades	activities	 0.30	 0.50	 0.50	 0.30	 0.68	 0.40	 0.39	 0.62	
acesso  	access  	 0.50	 0.67	 0.83	 0.50	 0.72	 0.67	 0.62	 0.69	
academico	academic	 0.89	 0.89	 0.89	 0.44	 0.82	 0.85	 0.79	 0.80	
eletricidade	electricity	 0.25	 0.33	 0.33	 0.42	 0.53	 0.56	 0.44	 0.66	
efeito  	effects 	 0.33	 0.50	 0.50	 0.50	 0.59	 0.45	 0.25	 0.56	
dissertacao	dissertation	 0.82	 0.73	 0.73	 0.36	 0.77	 0.71	 0.63	 0.85	
dicionario	dictionary	 0.30	 0.60	 0.70	 0.30	 0.68	 0.71	 0.67	 0.86	
