Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
planet  	planeta 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
plans   	planes  	 0.80	 1.00	 1.00	 0.80	 0.96	 0.89	 0.87	 0.89	
plants  	plantas 	 0.83	 1.00	 1.00	 0.67	 0.97	 1.00	 0.93	 0.97	
plaza   	plaza   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
pretension	pretension	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.93	 1.00	
propaganda	propaganda	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.88	 1.00	
protector	protector	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.81	 1.00	
radical 	radical 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
radio   	radio   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
ranch   	rancho  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
reality 	realidad	 0.71	 0.71	 0.57	 0.57	 0.67	 0.60	 0.65	 0.64	
region  	region  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
religion	religion	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
reunion 	reunion 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
revision	revision	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
ritual  	ritual  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
savor   	sabor   	 0.80	 0.80	 0.80	 0.80	 0.86	 0.56	 0.47	 0.75	
salary  	salario 	 0.83	 0.83	 0.83	 0.50	 0.75	 0.70	 0.65	 0.68	
series  	serie   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.63	 0.71	
sofa    	sofa    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
subversion	subversion	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 1.00	 1.00	
taxi    	taxi    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
television	television	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.86	 1.00	
terror  	terror  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.72	 1.00	
total   	total   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
transit 	transito	 1.00	 1.00	 1.00	 0.57	 0.89	 1.00	 1.00	 1.00	
uniform 	uniforme	 1.00	 1.00	 1.00	 0.57	 0.89	 1.00	 1.00	 1.00	
union   	union   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
universe	universo	 0.88	 0.88	 0.88	 0.88	 0.80	 0.83	 0.83	 0.90	
university	universidad	 0.80	 0.70	 0.70	 0.40	 0.75	 0.75	 0.77	 0.70	
vegetables	vegetales	 0.60	 0.70	 0.70	 0.70	 0.85	 0.73	 0.73	 0.81	
velocity	velocidad	 0.75	 0.75	 0.50	 0.50	 0.70	 0.67	 0.70	 0.65	
version 	version 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
violin  	violin  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
advertising	advertencia	 0.55	 0.55	 0.55	 0.45	 0.62	 0.52	 0.50	 0.67	
jug     	jugo    	 1.00	 1.00	 1.00	 0.67	 0.80	 1.00	 1.00	 1.00	
jar     	jarra   	 1.00	 1.00	 1.00	 0.67	 0.80	 1.00	 1.05	 1.00	
vial    	vial    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
leopard 	leopardo	 1.00	 1.00	 1.00	 0.57	 0.89	 1.00	 1.00	 1.00	
hippopotamus	hipopotamo	 0.25	 0.50	 0.50	 0.33	 0.61	 0.73	 0.61	 0.69	
group   	grupo   	 0.40	 0.60	 0.60	 0.40	 0.68	 0.67	 0.60	 0.90	
problem 	problema	 1.00	 1.00	 1.00	 0.57	 0.89	 1.00	 1.00	 1.00	
human   	humano  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
information	informacion	 0.91	 0.82	 0.82	 0.82	 0.92	 0.76	 0.77	 0.86	
moment  	momento 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 0.87	 1.00	
list    	lista   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 1.00	 1.00	
mortal  	mortal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
exams   	examenes	 0.80	 0.80	 0.60	 0.80	 0.87	 0.67	 0.73	 0.89	
computer	computadora	 0.75	 0.75	 0.75	 0.50	 0.73	 0.67	 0.70	 0.80	
apartment	apartamento	 0.56	 0.78	 0.78	 0.44	 0.81	 0.90	 0.85	 0.98	
animals 	animales	 0.86	 1.00	 1.00	 0.71	 0.97	 0.93	 0.91	 0.93	
movements	movimientos	 0.44	 0.78	 0.78	 0.44	 0.78	 0.67	 0.61	 0.94	
metabolism	metabolismo	 1.00	 1.00	 1.00	 0.40	 0.92	 1.00	 1.00	 1.00	
equipment	equipo  	 0.56	 0.56	 0.33	 0.33	 0.55	 0.43	 0.48	 0.47	
department	departamento	 0.60	 0.80	 0.80	 0.40	 0.83	 0.92	 0.94	 0.99	
crocodile	cocodrilo	 0.33	 0.67	 0.44	 0.33	 0.65	 0.67	 0.48	 0.68	
calendar	calendario	 1.00	 1.00	 1.00	 0.50	 0.90	 1.00	 1.00	 1.00	
auditorium	auditorio	 0.80	 0.80	 0.50	 0.40	 0.75	 0.75	 0.77	 0.75	
access  	acceso  	 0.83	 0.83	 0.67	 0.83	 0.75	 0.86	 0.66	 0.86	
academic	academico	 1.00	 1.00	 1.00	 0.50	 0.90	 1.00	 0.91	 1.00	
language*	lenguaje	 0.67	 0.67	 0.56	 0.33	 0.55	 0.50	 0.43	 0.57	
electricity	electricidad	 0.82	 0.64	 0.64	 0.36	 0.77	 0.82	 0.66	 0.77	
effects 	efecto  	 0.29	 0.43	 0.71	 0.57	 0.64	 0.67	 0.56	 0.65	
dissertation	disertacion	 0.25	 0.50	 0.50	 0.58	 0.80	 0.79	 0.70	 0.92	
dictionary	diccionario	 0.80	 0.80	 0.80	 0.30	 0.75	 0.62	 0.68	 0.68	
competition	competicion	 0.91	 0.91	 0.91	 0.82	 0.92	 0.83	 0.80	 0.98	
memory  	memoria 	 0.83	 0.83	 0.83	 0.50	 0.75	 0.73	 0.66	 0.70	
line    	linea   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 1.00	 1.00	
local   	local   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
history 	historia	 0.86	 0.86	 0.86	 0.57	 0.78	 0.80	 0.83	 0.75	
million 	millon  	 0.57	 0.71	 0.71	 0.71	 0.83	 0.73	 0.51	 0.86	
