Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
direccion	direction	 0.89	 0.89	 0.89	 0.89	 0.91	 0.88	 0.83	 0.97	
director	director	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
desastre	disaster	 0.62	 0.88	 0.88	 0.62	 0.75	 0.69	 0.53	 0.75	
disco   	disco   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
distancia	distance	 0.78	 0.78	 0.78	 0.44	 0.73	 0.75	 0.76	 0.84	
division	division	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.81	 1.00	
doctor  	doctor  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
dragon  	dragon  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
drama   	drama   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
editorial	editorial	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
elefante	elephant	 0.38	 0.50	 0.50	 0.38	 0.62	 0.41	 0.43	 0.78	
enigma  	enigma  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
excursion	excursion	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
explosion	explosion	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.98	 1.00	
expulsion	expulsion	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
extension	extension	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
