Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
realidad	realidad	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
región  	region  	 0.83	 0.67	 0.67	 0.83	 0.88	 0.67	 0.64	 0.81	
religión	religion	 0.88	 0.75	 0.62	 0.88	 0.90	 0.81	 0.65	 0.84	
reunión 	reunion 	 0.86	 0.71	 0.71	 0.86	 0.89	 0.73	 0.70	 0.81	
revisión	revision	 0.88	 0.75	 0.62	 0.88	 0.90	 0.81	 0.65	 0.84	
ritual  	ritual  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
sabor   	sabor   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
salario 	salario 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
serie   	serie   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
sofá    	sofa    	 0.75	 0.75	 0.50	 0.75	 0.67	 0.50	 0.63	 0.59	
subversión	subversion	 0.90	 0.70	 0.70	 0.80	 0.92	 0.83	 0.81	 0.87	
sugestão	sugestao	 0.88	 0.75	 0.38	 0.88	 0.90	 0.78	 0.74	 0.85	
taxi    	taxi    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
televisión	television	 0.90	 0.80	 0.80	 0.80	 0.92	 0.85	 0.66	 0.86	
terror  	terror  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.72	 1.00	
total   	total   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
tránsito	transito	 0.88	 0.25	 0.12	 0.88	 0.90	 0.72	 0.71	 0.82	
uniforme	uniforme	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
unión   	union   	 0.80	 0.60	 0.60	 0.80	 0.86	 0.56	 0.54	 0.72	
universo	universo	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
universidad	universidad	 1.00	 0.91	 0.91	 0.82	 1.00	 1.00	 0.94	 1.01	
vegetales	vegetales	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.92	 1.00	
velocidad	velocidad	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.92	 1.00	
versión 	version 	 0.86	 0.71	 0.71	 0.86	 0.89	 0.73	 0.70	 0.83	
violín  	violin  	 0.83	 0.67	 0.67	 0.83	 0.88	 0.67	 0.65	 0.81	
advertencia	advertencia	 1.00	 0.91	 0.91	 0.82	 1.00	 1.00	 0.98	 1.01	
danza   	danza   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
jugo    	jugo    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
jarra   	jarra   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.61	 1.00	
vial    	vial    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
sobre   	sobre   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
leopardo	leopardo	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
hipopótamo	hipopotamo	 0.90	 0.50	 0.50	 0.80	 0.83	 0.77	 0.71	 0.86	
grupo   	grupo   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
problema	problema	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
humano  	humano  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
información	informacion	 0.91	 0.64	 0.64	 0.73	 0.92	 0.85	 0.83	 0.89	
momento 	momento 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
lista   	lista   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
aire    	aire    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
mortal  	mortal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
exámenes	examenes	 0.88	 0.38	 0.38	 0.88	 0.90	 0.69	 0.61	 0.80	
computadora	computadora	 1.00	 1.00	 1.00	 0.82	 1.00	 1.00	 1.00	 1.01	
apartamento	apartamento	 1.00	 0.91	 0.91	 0.82	 1.00	 1.00	 0.92	 1.00	
animales	animales	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
actor   	actor   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
movimientos	movimientos	 1.00	 1.00	 1.00	 0.82	 1.00	 1.00	 0.94	 1.00	
metabolismo	metabolismo	 1.00	 1.00	 1.00	 0.82	 1.00	 1.00	 1.00	 1.01	
equipo  	equipo  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
departamento	departamento	 1.00	 0.92	 0.92	 0.75	 1.00	 1.00	 0.98	 1.01	
cocodrilo	cocodrilo	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
calendario	calendario	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 1.00	 1.00	
auditorio	auditorio	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
actvidades	actvidades	 1.00	 0.90	 0.90	 0.90	 1.00	 1.00	 0.93	 1.00	
acceso  	acceso  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.85	 1.00	
académico	academico	 0.89	 0.44	 0.44	 0.89	 0.91	 0.70	 0.66	 0.85	
lenguaje	lenguaje	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
electricidad	electricidad	 1.00	 0.83	 0.83	 0.75	 1.00	 1.00	 0.83	 1.00	
efecto  	efecto  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.87	 1.00	
disertación	disertacion	 0.91	 0.73	 0.73	 0.73	 0.92	 0.85	 0.83	 0.89	
diccionario	diccionario	 1.00	 1.00	 1.00	 0.82	 1.00	 1.00	 0.85	 1.00	
competición	competicion	 0.91	 0.73	 0.73	 0.73	 0.92	 0.88	 0.76	 0.88	
música  	musica  	 0.83	 0.17	 0.17	 0.83	 0.88	 0.67	 0.64	 0.59	
memoria 	memoria 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
parte   	parte   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
humano  	humano  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
línea   	linea   	 0.80	 0.20	 0.00	 0.80	 0.86	 0.56	 0.54	 0.54	
local   	local   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
historia	historia	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
millón  	millon  	 0.83	 0.67	 0.67	 0.83	 0.88	 0.62	 0.50	 0.80	
idea    	idea    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
material	material	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
hora    	hora    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
hotel   	hotel   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
manera  	manera  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
radio   	radio   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
hospital	hospital	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
gas     	gas     	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
parque  	parque  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
universo	universo	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
independencia	independencia	 1.00	 0.85	 0.85	 0.69	 1.00	 1.00	 0.86	 1.01	
metal   	metal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
