Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
multiple	multiplo	 0.88	 0.88	 0.88	 0.88	 0.80	 0.83	 0.85	 0.76	
music   	musica  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
musical 	musical 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
nostalgia	nostalgia	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
object  	objeto  	 0.67	 0.67	 0.50	 0.67	 0.72	 0.67	 0.68	 0.75	
observatory	observatorio	 0.91	 0.82	 0.82	 0.36	 0.85	 0.89	 0.91	 0.84	
occasion	ocasiao 	 0.38	 0.50	 0.38	 0.38	 0.65	 0.73	 0.67	 0.72	
ocean   	oceano  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
opera   	opera   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
opportunity	oportunidade	 0.18	 0.36	 0.36	 0.18	 0.65	 0.71	 0.64	 0.73	
original	original	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
palace  	palacio 	 0.83	 0.83	 0.83	 0.50	 0.75	 0.70	 0.65	 0.68	
panic   	panico  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
panorama	panorama	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
paradise	paraiso 	 0.50	 0.62	 0.62	 0.75	 0.65	 0.56	 0.50	 0.62	
park    	parque  	 0.75	 0.75	 0.75	 0.50	 0.67	 0.50	 0.63	 0.59	
part    	parte   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 1.00	 1.00	
pastor  	pastor  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
patience	paciencia	 0.75	 0.75	 0.75	 0.38	 0.60	 0.61	 0.60	 0.78	
patio   	patio   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
perfume 	perfume 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
photo   	foto    	 0.00	 0.60	 0.60	 0.40	 0.57	 0.38	 0.29	 0.14	
planet  	planeta 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
plans   	planos  	 0.80	 1.00	 1.00	 0.80	 0.96	 0.89	 0.87	 0.89	
plants  	plantas 	 0.83	 1.00	 1.00	 0.67	 0.97	 1.00	 0.93	 0.97	
plaza   	praca   	 0.60	 0.60	 0.60	 0.60	 0.71	 0.25	 0.14	 0.31	
pretension	pretensao	 0.80	 0.80	 0.50	 0.40	 0.75	 0.68	 0.62	 0.77	
propaganda	propaganda	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.88	 1.00	
protector	protetor	 0.56	 0.67	 0.78	 0.78	 0.83	 0.71	 0.61	 0.81	
radical 	radical 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
radio   	radio   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
ranch   	rancho  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
reality 	realidade	 0.71	 0.71	 0.57	 0.57	 0.67	 0.60	 0.66	 0.64	
region  	regiao  	 0.67	 0.67	 0.50	 0.67	 0.72	 0.67	 0.68	 0.75	
religion	religiao	 0.75	 0.75	 0.50	 0.75	 0.77	 0.81	 0.69	 0.79	
reunion 	reuniao 	 0.71	 0.71	 0.71	 0.71	 0.75	 0.73	 0.74	 0.92	
revision	revisao 	 0.75	 0.75	 0.50	 0.50	 0.70	 0.69	 0.53	 0.71	
ritual  	ritual  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
savor   	sabor   	 0.80	 0.80	 0.80	 0.80	 0.86	 0.56	 0.47	 0.75	
salary  	salario 	 0.83	 0.83	 0.83	 0.50	 0.75	 0.70	 0.65	 0.68	
series  	serie   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.63	 0.71	
sofa    	sofa    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
subversion	subversao	 0.80	 0.80	 0.80	 0.40	 0.75	 0.71	 0.69	 0.71	
taxi    	taxi    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
television	televisao	 0.80	 0.80	 0.50	 0.40	 0.75	 0.75	 0.57	 0.76	
terror  	terror  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.72	 1.00	
total   	total   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
transit 	transito	 1.00	 1.00	 1.00	 0.57	 0.89	 1.00	 1.00	 1.00	
uniform 	uniforme	 1.00	 1.00	 1.00	 0.57	 0.89	 1.00	 1.00	 1.00	
union   	uniao   	 0.60	 0.60	 0.60	 0.60	 0.68	 0.56	 0.60	 0.94	
universe	universo	 0.88	 0.88	 0.88	 0.88	 0.80	 0.83	 0.83	 0.90	
university	universidade	 0.80	 0.70	 0.70	 0.30	 0.75	 0.75	 0.77	 0.70	
vegetables	vegetais	 0.60	 0.60	 0.40	 0.50	 0.69	 0.45	 0.47	 0.66	
velocity	velocidade	 0.75	 0.75	 0.50	 0.50	 0.70	 0.67	 0.70	 0.65	
version 	versao  	 0.71	 0.71	 0.57	 0.43	 0.67	 0.53	 0.53	 0.59	
violin  	violino 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 0.96	 1.00	
advertising	advertencia	 0.55	 0.55	 0.55	 0.45	 0.62	 0.52	 0.50	 0.67	
jug     	jugo    	 1.00	 1.00	 1.00	 0.67	 0.80	 1.00	 1.00	 1.00	
jar     	jarra   	 1.00	 1.00	 1.00	 0.67	 0.80	 1.00	 1.05	 1.00	
sob     	sob     	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
leopard 	leopardo	 1.00	 1.00	 1.00	 0.57	 0.89	 1.00	 1.00	 1.00	
hippopotamus	hipopotamo	 0.25	 0.50	 0.50	 0.33	 0.61	 0.73	 0.61	 0.69	
group   	grupo   	 0.40	 0.60	 0.60	 0.40	 0.68	 0.67	 0.60	 0.90	
problem 	problema	 1.00	 1.00	 1.00	 0.57	 0.89	 1.00	 1.00	 1.00	
human   	humano  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
