English	Part_of_speech	Cognate Eng-Port	Cognate_Eng-Span	Cognate_Port-Spanish	False_Cognate_En-PT	False_Cognate_En-Spanish	False_cognate Port-Span	Similar_word_in_Portuguese	Similar_word_in_Spanish	Translation_in_Portuguese	Translation_in_Spanish	Comments
metabolism	noun	yes	yes	yes	no	no	no	metabolismo	metabolismo	metabolismo	metabolismo	
equipment	noun	yes	no	no	no	yes	yes	equipamento	equipo	equipamento	equipo	
department	noun	yes	yes	yes	no	no	no	departamento	departamento	departamento	departamento	
crocodile	noun	yes	yes	yes	no	no	no	crocodilo	cocodrilo	crocodilo	cocodrilo	
calendar	noun	yes	yes	yes	no	no	no	calendário	calendario	calendário	calendario	
auditorium	noun	yes	yes	yes	no	no	no	auditório	auditorio	auditório	auditorio	
activities	noun	yes	no	yes	no	no	no	atividades	actvidades	atividades	ocupaciones	
access	noun	yes	yes	yes	no	no	no	acesso	acceso	acesso	acceso	
academic	noun	yes	yes	yes	no	no	no	acadêmico	académico	acadêmico	académico	
language	noun	no	no	no	no	yes	no	linguagem	lenguaje	idioma	lengua, idioma	
electricity	noun	yes	yes	yes	no	no	no	eletricidade	electricidad	eletricidade	electricidad	
effects	noun	yes	yes	yes	no	no	no	efeito	efecto	efeito	efecto	
dissertation	noun	yes	yes	yes	no	no	no	dissertação	disertación	dissertação	disertación	
dictionary	noun	yes	yes	yes	no	no	no	dicionário	diccionario	dicionário	diccionario	
competition	noun	yes	yes	yes	no	no	no	competição	competición	competição	competencia	competición in Spanish refers to an event
music	noun	yes	yes	yes	no	no	no	música	música	música	música	
memory	noun	yes	yes	yes	no	no	no	memória	memoria	memória	memoria	
part	noun	yes	yes	yes	no	no	no	parte	parte	parte	parte	
human	noun	yes	yes	yes	no	no	no	humano	humano	humano	humano	
line	noun	yes	yes	yes	no	no	no	linha	línea	linha	línea	
local	noun	yes	yes	yes	no	no	no	local	local	local	local	
history	noun	yes	yes	yes	no	no	no	história	historia	história	historia	
million	noun	yes	yes	yes	no	no	no	milhão	millón	milhão	millón	
idea	noun	yes	yes	yes	no	no	no	ideia	idea	ideia	idea	
material	noun	yes	yes	yes	no	no	no	material	material	material	material	
hour	noun	yes	yes	yes	no	no	no	hora	hora	hora	hora	
hotel	noun	yes	yes	yes	no	no	no	hotel	hotel	hotel	hotel	
manner	noun	yes	yes	yes	no	no	no	maneira	manera	maneira	manera	
radio	noun	yes	yes	yes	no	no	no	rádio	radio	rádio	radio	
hospital	noun	yes	yes	yes	no	no	no	hospital	hospital	hospital	hospital	
gas	noun	yes	yes	yes	no	no	no	gás	gas	gás	gas	
