subject	item	sentcond	questcond	dependnum	starttime	endtime	subresp	correctresp	accuracy
9	9	 2	 12	1	1739651	1742400	6		0
9	69	 2	 12	1	1779473	1782481	7		0
9	71	 4	 12	1	1798353	1801032	7		0
9	92	 1	 12	1	1820960	1822829	7		0
9	65	 2	 12	1	1839534	1842752	7		0
9	53	 2	 12	1	1861874	1864104	7		0
9	24	 1	 12	1	1878547	1880376	7		0
9	97	 2	 12	1	1900833	1902838	7		0
9	15	 4	 11	1	1910152	1912058	6		0
9	62	 3	 11	1	1930003	1933621	6		0
9	38	 3	 12	1	1957927	1962913	7		0
9	91	 4	 11	1	1971936	1975281	6		0
9	27	 4	 11	1	1989780	1993037	6		0
9	19	 4	 12	1	2006241	2009225	7		0
9	29	 2	 11	1	2045766	2048846	6		0
9	11	 4	 11	1	2056845	2065081	6		0
9	21	 2	 11	1	2096709	2098951	6		0
9	94	 3	 12	1	2110248	2113435	7		0
9	64	 1	 12	1	2139732	2142359	7		0
9	50	 3	 12	1	2152627	2155643	7		0
9	52	 1	 11	1	2191123	2193871	6		0
9	72	 1	 11	1	2216904	2220202	6		0
9	23	 4	 12	1	2238481	2240795	7		0
9	40	 1	 12	1	2247925	2254281	7		0
9	22	 3	 11	1	2271986	2275706	6		0
9	59	 4	 11	1	2285797	2288856	6		0
9	6	 3	 11	1	2308483	2311882	6		0
9	98	 3	 12	1	2326786	2330103	7		0
9	18	 3	 11	1	2345017	2347692	6		0
9	25	 2	 12	1	2357829	2361403	7		0
9	55	 4	 11	1	2384053	2386200	6		0
9	54	 3	 12	1	2403652	2406088	7		0
9	12	 1	 12	1	2414950	2417319	7		0
9	95	 4	 12	1	2446946	2449898	7		0
9	45	 2	 12	1	2462966	2467802	7		0
9	43	 4	 12	1	2478580	2482506	7		0
10	1	 1	 1	1	1066172	1076077	7		0
10	3	 1	 1	1	1090798	1094833	6		0
10	2	 1	 1	1	1121099	1126318	7		0
10	4	 1	 1	1	1160964	1165125	6		0
10	5	 1	 1	1	1191840	1195617	7		0
10	69	 4	 12	1	1518157	1521407	7		0
10	50	 1	 12	1	1564263	1567456	7		0
10	64	 3	 12	1	1583624	1589184	6		0
10	19	 2	 12	1	1606796	1613167	7		0
10	57	 4	 12	1	1691978	1694673	7		0
10	71	 2	 12	1	1718740	1721104	7		0
10	58	 1	 11	1	1730936	1736148	6		0
10	48	 3	 11	1	1766511	1772339	7		0
10	54	 1	 12	1	1791540	1794199	7		0
10	56	 3	 11	1	1817624	1821056	6		0
10	51	 2	 11	1	1832087	1835212	6		0
10	52	 3	 11	1	1893819	1896623	6		0
10	12	 3	 12	1	1982585	1985280	7		0
10	92	 3	 12	1	2005144	2007056	7		0
10	45	 4	 12	1	2044794	2048068	7		0
10	49	 4	 12	1	2059804	2062152	7		0
10	72	 3	 11	1	2079240	2085169	6		0
10	24	 3	 12	1	2098396	2100424	7		0
10	11	 2	 11	1	2118891	2120695	6		0
10	91	 2	 11	1	2136523	2138896	6		0
10	32	 3	 12	1	2148905	2150977	7		0
10	35	 2	 12	1	2160010	2162560	7		0
10	6	 1	 11	1	2181835	2184764	6		0
10	29	 4	 11	1	2208443	2211404	6		0
10	78	 1	 12	1	2237435	2240077	7		0
10	98	 1	 12	1	2329288	2331090	7		0
10	55	 2	 11	1	2344155	2348478	6		0
10	94	 1	 12	1	2358297	2365123	6		0
10	47	 2	 11	1	2395697	2397926	6		0
10	15	 2	 11	1	2408411	2411701	6		0
10	27	 2	 11	1	2447978	2450402	6		0
10	65	 4	 12	1	2466203	2471119	7		0
10	42	 1	 12	1	2499455	2501458	7		0
10	62	 1	 11	1	2541995	2548483	6		0
10	53	 4	 12	1	2562395	2565375	7		0
10	23	 2	 12	1	2591848	2593994	7		0
10	59	 2	 11	1	2610441	2616252	6		0
10	22	 1	 11	1	2633131	2636132	6		0
10	36	 3	 11	1	2658032	2660949	7		0
10	9	 4	 12	1	2692428	2694763	6		0
10	21	 4	 11	1	2705720	2707575	6		0
10	97	 4	 12	1	2718795	2721587	7		0
10	43	 2	 12	1	2737615	2742196	7		0
10	76	 3	 12	1	2761277	2763963	7		0
10	40	 3	 12	1	2772177	2775077	7		0
10	38	 1	 12	1	2784954	2788191	7		0
10	88	 3	 11	1	2797871	2800324	6		0
10	95	 2	 12	1	2814573	2816975	7		0
10	18	 1	 11	1	2831005	2833759	6		0
10	25	 4	 12	1	2847996	2853124	6		0
11	2	 1	 1	1	1037411	1046406	7		0
11	3	 1	 1	1	1064337	1069608	6		0
11	1	 1	 1	1	1166194	1173832	7		0
11	5	 1	 1	1	1214354	1218630	7		0
11	4	 1	 1	1	1280654	1284294	6		0
11	22	 2	 11	1	1626793	1631570	6		0
11	25	 1	 12	1	1703123	1707511	7		0
11	88	 4	 11	1	1724551	1727433	6		0
11	40	 4	 12	1	1738376	1744427	7		0
11	65	 1	 12	1	1787342	1791282	7		0
11	19	 3	 12	1	1810866	1815161	7		0
11	72	 4	 11	1	1839793	1842647	6		0
11	15	 3	 11	1	1851875	1853849	6		0
11	11	 3	 11	1	1934690	1936824	6		0
11	6	 2	 11	1	1953428	1957110	6		0
11	69	 1	 12	1	1972354	1974846	7		0
11	29	 1	 11	1	1987138	1992278	6		0
11	76	 4	 12	1	2010898	2015416	7		0
11	35	 3	 12	1	2043047	2046474	7		0
11	78	 2	 12	1	2058005	2063494	6		0
11	27	 3	 11	1	2109003	2111519	6		0
11	54	 2	 12	1	2125045	2127975	7		0
11	47	 3	 11	1	2151539	2156118	6		0
11	92	 4	 12	1	2183042	2185910	7		0
11	56	 4	 11	1	2204835	2206793	6		0
11	58	 2	 11	1	2234966	2237294	6		0
11	9	 1	 12	1	2307106	2310793	7		0
11	55	 3	 11	1	2344166	2346282	6		0
11	94	 2	 12	1	2354601	2359135	7		0
