word,pos,wl,freq_per_million
applicant,nn1,9,8.212563336
applicants,nn2,10,13.13787269
application,nn1,11,104.9024033
applications,nn2,12,66.51396276
appointees,nn2,10,1.448620399
appointment,nn1,11,44.68436768
appointments,nn2,12,14.97650627
appraisal,nn1,9,9.081735576
appreciation,nn1,12,14.25219608
apprehension,nn1,12,5.772195127
apprentice,nn1,10,4.279001793
apprentices,nn2,11,2.73009229
apprenticeship,nn1,14,4.958739057
approach,nn1,8,140.772473
approach,nn1-vvb,8,13.962472
approaches,nn2,10,24.42596857
approaches,nn2-vvz,10,7.020237316
approaching,nn1-vvg,11,1.392904229
appropriateness,nn1,15,2.429224976
appropriation,nn1,13,4.825020251
approval,nn1,8,41.70912424
approvals,nn2,9,1.158896319
approximation,nn1,13,3.599264529
approximations,nn2,14,1.036320747
apricot,nn1,7,1.537766269
april,np0,5,158.690793
apron,nn1,5,5.047884927
aptitude,nn1,8,2.061498259
aquarium,nn1,8,9.137451745
aquifer,nn1,7,1.002891045
aquino,np0,6,1.950065921
aquitaine,nn1-np0,9,1.069750448
aquitaine,np0,9,4.925309355
arabia,np0,6,10.00662398
arabs,nn2,5,5.415611644
arafat,nn1-np0,6,1.782917414
arafat,np0,6,1.147753085
aragon,nn1-np0,6,1.092036916
araminta,np0,8,1.91663622
arbiter,nn1,7,1.582339205
arbitrage,nn1,9,2.284362936
arbitration,nn1,11,7.454823436
arbitrator,nn1,10,3.042102837
arbitrators,nn2,11,1.415190697
arbroath,np0,8,1.092036916
arcade,nn1,6,2.685519354
archaeologist,nn1,13,1.938922687
archaeologists,nn2,14,3.654980698
archaeology,nn1,11,6.084205674
archaeology,nn1-np0,11,1.404047463
archbishop,nn1,10,9.650040501
archbishop,nn1-np0,10,2.228646767
archbishop,np0,10,5.192746967
archbishops,nn2,11,1.404047463
archdeacon,nn1-np0,10,1.693771543
archer,nn1,6,1.125466617
archer,nn1-np0,6,1.738344478
archer,np0,6,2.184073832
archers,nn2,7,3.097819006
arches,nn2,6,4.06728035
arches,nn2-vvz,6,1.214612488
archibald,np0,9,1.560052737
archie,np0,6,2.919527265
archipelago,nn1,11,1.448620399
architect,nn1,9,15.83453528
architects,nn2,10,10.90922592
architects,nn2-vvz,10,1.069750448
architecture,nn1,12,30.28730956
architectures,nn2,13,1.972352389
archive,nn1,7,4.780447315
archive,nn1-np0,7,1.04746398
archive,nn1-vvb,7,1.270328657
archives,nn2,8,5.125887564
archives,nn2-vvz,8,2.094927961
archway,nn1,7,1.950065921
arctic,np0,6,2.941813732
arden,np0,5,1.281471891
areas,nn2,5,243.8028131
arena,nn1,5,8.535717118
arena,nn1-np0,5,1.036320747
arena,np0,5,1.214612488
arenas,nn2,6,1.114323384
argentina,np0,9,10.67521801
argue,nn1-vvb,5,3.510118658
argues,nn2-vvz,6,3.476688957
arguing,nn1-vvg,7,1.415190697
argument,nn1,8,85.8920464
arguments,nn2,9,40.55022793
argyle,np0,6,1.080893682
argyll,nn1-np0,6,1.014034279
argyll,np0,6,2.340079105
ariadne,np0,7,1.114323384
arias,nn2,5,1.203469254
ariel,np0,5,1.615768906
aries,np0,5,1.069750448
arise,nn1-vvb,5,3.844415673
arises,nn2-vvz,6,7.287674928
arising,nn1-vvg,7,1.582339205
aristocracy,nn1,11,5.605046619
aristocrat,nn1,10,1.571195971
aristocrats,nn2,11,2.072641493
aristos,np0,7,1.181182787
aristotle,np0,9,4.033850648
arizona,np0,7,2.629803185
arkansas,np0,8,1.727201244
armagh,nn1-np0,6,1.415190697
armagh,np0,6,1.905492986
armaments,nn2,9,1.91663622
armchair,nn1,8,7.187385824
armchairs,nn2,9,1.983495623
armenia,nn1-np0,7,1.002891045
armenia,np0,7,2.362365573
armenians,nn2,9,1.080893682
armies,nn2,6,11.10980413
armitage,np0,8,1.615768906
armour,nn1,6,7.421393734
