sentence_nr;word_nr;word;word_no_pct
138;3;shooting;shooting
138;4;range;range
138;5;the;the
138;6;gunman;gunman
138;7;was;was
138;8;well;well
138;9;known.;known
139;1;The;The
139;2;man's;man
139;3;receding;receding
139;4;hairline;hairline
139;5;made;made
139;6;him;him
139;7;very;very
139;8;self-conscious.;self-conscious
140;1;The;The
140;2;quarterback;quarterback
140;3;knew;knew
140;4;his;his
140;5;halfback;halfback
140;6;would;would
140;7;be;be
140;8;open.;open
141;1;Because;Because
141;2;the;the
141;3;handbook;handbook
141;4;provided;provided
141;5;no;no
141;6;answers;answers
141;7;he;he
141;8;gave;gave
141;9;up.;up
142;1;She;She
142;2;knew;knew
142;3;that;that
142;4;handmade;handmade
142;5;gifts;gifts
142;6;make;make
142;7;the;the
142;8;most;most
142;9;sincere;sincere
142;10;presents.;presents
143;1;She;She
143;2;would;would
143;3;go;go
143;4;the;the
143;5;farm;farm
143;6;and;and
143;7;handpick;handpick
143;8;the;the
143;9;produce;produce
143;10;herself.;herself
144;1;He;He
144;2;finally;finally
144;3;skated;skated
144;4;the;the
144;5;whole;whole
144;6;handrail;handrail
144;7;without;without
144;8;falling.;falling
145;1;He;He
145;2;considered;considered
145;3;himself;himself
145;4;the;the
145;5;most;most
145;6;handsome;handsome
145;7;guy;guy
145;8;at;at
145;9;the;the
145;10;party.;party
146;1;None;None
146;2;of;of
146;3;the;the
146;4;many;many
146;5;hangover;hangover
146;6;remedies;remedies
146;7;seem;seem
146;8;to;to
146;9;really;really
146;10;work.;work
147;1;She;She
147;2;used;used
147;3;a;a
147;4;headband;headband
147;5;to;to
147;6;keep;keep
147;7;her;her
147;8;bangs;bangs
147;9;under;under
147;10;control.;control
148;1;She;She
148;2;wore;wore
148;3;the;the
148;4;heirloom;heirloom
148;5;necklace;necklace
148;6;with;with
148;7;great;great
148;8;caution.;caution
149;1;She;She
149;2;wanted;wanted
149;3;to;to
149;4;live;live
149;5;on;on
149;6;the;the
149;7;hillside;hillside
149;8;overlooking;overlooking
149;9;the;the
149;10;beach.;beach
150;1;The;The
150;2;girl;girl
150;3;was;was
150;4;known;known
150;5;to;to
150;6;overcook;overcook
150;7;everything;everything
150;8;she;she
150;9;made.;made
151;1;The;The
151;2;defendant;defendant
151;3;wished;wished
151;4;the;the
151;5;judge;judge
151;6;would;would
151;7;overturn;overturn
151;8;the;the
151;9;previous;previous
151;10;ruling.;ruling
152;1;He;He
152;2;never;never
152;3;really;really
152;4;understood;understood
152;5;how;how
